scale_name,url,notes,signature
Db Major Pentatonic Scale,https://pulse.berklee.edu/scales/d-flat-major-pentatonic-scale.html,Db Eb F Ab Bb,5 flats
D Major Pentatonic Scale,https://pulse.berklee.edu/scales/d-major-pentatonic-scale.html,D E F# A B,2 sharps
Eb Major Pentatonic Scale,https://pulse.berklee.edu/scales/e-flat-major-pentatonic-scale.html,Eb F G Bb C,3 flats
E Major Pentatonic Scale,https://pulse.berklee.edu/scales/e-major-pentatonic-scale.html,E F# G# B C#,4 sharps
F Major Pentatonic Scale,https://pulse.berklee.edu/scales/f-major-pentatonic-scale.html,F G A C D,1 flat
F# Major Pentatonic Scale,https://pulse.berklee.edu/scales/f-sharp-major-pentatonic-scale.html,F# G# A# C# D#,6 sharps
G Major Pentatonic Scale,https://pulse.berklee.edu/scales/g-major-pentatonic-scale.html,G A B D E,1 sharp
Ab Major Pentatonic Scale,https://pulse.berklee.edu/scales/a-flat-major-pentatonic-scale.html,Ab Bb C Eb F,4 flats
A Minor Pentatonic Scale,https://pulse.berklee.edu/scales/a-minor-pentatonic-scale.html,A C D E G,0 flats or sharps
Bb Minor Pentatonic Scale,https://pulse.berklee.edu/scales/b-flat-minor-pentatonic-scale.html,Bb Db Eb F Ab,5 flats
B Minor Pentatonic Scale,https://pulse.berklee.edu/scales/b-minor-pentatonic-scale.html,B D E F# A,2 sharps
C Minor Pentatonic Scale,https://pulse.berklee.edu/scales/c-minor-pentatonic-scale.html,C Eb F G Bb,3 flats
C# Minor Pentatonic Scale,https://pulse.berklee.edu/scales/c-sharp-minor-pentatonic-scale.html,C# E F# G# B,4 sharps
D Minor Pentatonic Scale,https://pulse.berklee.edu/scales/d-minor-pentatonic-scale.html,D F G A C,1 flat
D# Minor Pentatonic Scale,https://pulse.berklee.edu/scales/d-sharp-minor-pentatonic-scale.html,D# F# G# A# C#,6 sharps
E Minor Pentatonic Scale,https://pulse.berklee.edu/scales/e-minor-pentatonic-scale.html,E G A B D,1 sharp
F Minor Pentatonic Scale,https://pulse.berklee.edu/scales/f-minor-pentatonic-scale.html,F Ab Bb C Eb,4 flats
F# Minor Pentatonic Scale,https://pulse.berklee.edu/scales/f-sharp-minor-pentatonic-scale.html,F# A B C# E,3 sharps
G Minor Pentatonic Scale,https://pulse.berklee.edu/scales/g-minor-pentatonic-scale.html,G Bb C D F,2 flats
G# Minor Pentatonic Scale,https://pulse.berklee.edu/scales/g-sharp-minor-pentatonic-scale.html,G# B C# D# F#,5 sharps
A Whole ToneScale,https://pulse.berklee.edu/scales/a-whole-tone-scale.html,A B C# D# E# F𝄪,
Bb Whole ToneScale,https://pulse.berklee.edu/scales/b-flat-whole-tone-scale.html,Bb C D E F# G#,
B Whole ToneScale,https://pulse.berklee.edu/scales/b-whole-tone-scale.html,B C# D# E# F𝄪 G𝄪,
C Whole ToneScale,https://pulse.berklee.edu/scales/c-whole-tone-scale.html,C D E F# G# A#,
Db Whole ToneScale,https://pulse.berklee.edu/scales/d-flat-whole-tone-scale.html,Db Eb F G A B,
D Whole ToneScale,https://pulse.berklee.edu/scales/d-whole-tone-scale.html,D E F# G# A# B#,
Eb Whole ToneScale,https://pulse.berklee.edu/scales/e-flat-whole-tone-scale.html,Eb F G A B C#,
E Whole ToneScale,https://pulse.berklee.edu/scales/e-whole-tone-scale.html,E F# G# A# B# C𝄪,
F Whole ToneScale,https://pulse.berklee.edu/scales/f-whole-tone-scale.html,F G A B C# D#,
F# Whole ToneScale,https://pulse.berklee.edu/scales/f-sharp-whole-tone-scale.html,F# G# A# B# C𝄪 D𝄪,
G Whole ToneScale,https://pulse.berklee.edu/scales/g-whole-tone-scale.html,G A B C# D# E#,
Ab Whole ToneScale,https://pulse.berklee.edu/scales/a-flat-whole-tone-scale.html,Ab Bb C D E F#,
